ResponseID,BranchNum,Date_of_Survey,Time_of_Survey,SurveyQuestion1,SurveyQuestion2
1000,38,3/29/2020 0:00,2:36:00 PM,5,4
1001,2,3/29/2020 0:00,6:54:00 PM,5,5
1002,9,3/28/2020 0:00,12:21:00 AM,5,5
1003,42,3/28/2020 0:00,1:08:00 AM,5,4
1004,23,3/27/2020 0:00,11:43:00 AM,5,4
1005,40,3/27/2020 0:00,1:30:00 PM,5,5
1006,6,3/26/2020 0:00,6:20:00 AM,4,2
1007,25,3/25/2020 0:00,5:30:00 PM,5,5
1008,35,3/25/2020 0:00,8:35:00 AM,5,5
1009,42,3/25/2020 0:00,10:13:00 AM,1,2
1010,40,3/25/2020 0:00,12:02:00 PM,5,5
1011,19,3/25/2020 0:00,3:11:00 PM,5,4
1012,31,3/25/2020 0:00,4:38:00 PM,4,4
1013,23,3/24/2020 0:00,5:45:00 AM,5,4
1014,6,3/24/2020 0:00,5:55:00 PM,5,5
1015,5,3/23/2020 0:00,2:40:00 AM,5,5
1016,9,3/23/2020 0:00,9:31:00 AM,5,5
1017,40,3/23/2020 0:00,2:15:00 PM,5,5
1018,35,3/22/2020 0:00,8:11:00 AM,5,5
1019,9,3/22/2020 0:00,10:24:00 AM,3,4
1020,32,3/22/2020 0:00,10:32:00 PM,5,5
1021,2,3/22/2020 0:00,6:32:00 AM,5,5
1022,9,3/21/2020 0:00,5:50:00 AM,5,5
1023,15,3/21/2020 0:00,9:36:00 AM,5,5
1024,9,3/21/2020 0:00,10:52:00 AM,5,5
1025,5,3/21/2020 0:00,11:27:00 AM,4,5
1026,25,3/21/2020 0:00,11:48:00 AM,4,3
1027,31,3/21/2020 0:00,9:08:00 PM,4,4
1028,7,3/21/2020 0:00,10:15:00 PM,4,5
1029,4,3/21/2020 0:00,11:32:00 PM,4,4
1030,9,3/20/2020 0:00,6:55:00 AM,3,3
1031,32,3/20/2020 0:00,8:33:00 AM,5,5
1032,40,3/20/2020 0:00,8:34:00 AM,3,4
1033,9,3/20/2020 0:00,2:54:00 PM,5,5
1034,4,3/20/2020 0:00,10:58:00 PM,4,4
1035,10,3/19/2020 0:00,5:55:00 PM,4,4
1036,40,3/19/2020 0:00,7:10:00 AM,3,4
1037,9,3/19/2020 0:00,11:13:00 AM,5,5
1038,22,3/19/2020 0:00,12:26:00 PM,5,5
1039,9,3/19/2020 0:00,12:33:00 PM,4,4
1040,10,3/18/2020 0:00,12:47:00 PM,5,5
1041,42,3/18/2020 0:00,2:12:00 PM,1,4
1042,23,3/18/2020 0:00,3:06:00 PM,5,5
1043,2,3/18/2020 0:00,6:17:00 PM,2,3
1044,40,3/18/2020 0:00,10:48:00 PM,5,5
1045,32,3/17/2020 0:00,6:11:00 AM,5,5
1046,32,3/17/2020 0:00,6:48:00 AM,5,5
1047,13,3/17/2020 0:00,7:53:00 AM,4,5
1048,40,3/17/2020 0:00,7:55:00 AM,5,5
1049,28,3/17/2020 0:00,9:02:00 AM,5,5
1050,2,3/17/2020 0:00,11:01:00 AM,5,4
1051,11,3/17/2020 0:00,7:17:00 PM,4,4
1052,25,3/17/2020 0:00,7:26:00 PM,5,5
1053,6,3/17/2020 0:00,5:04:00 PM,5,4
1054,9,3/17/2020 0:00,5:25:00 PM,4,4
1055,5,3/17/2020 0:00,7:08:00 PM,4,5
1056,32,3/17/2020 0:00,1:10:00 PM,5,5
1057,22,3/17/2020 0:00,2:02:00 PM,5,5
1058,17,3/17/2020 0:00,2:21:00 PM,5,5
1059,40,3/17/2020 0:00,4:23:00 PM,4,5
1060,9,3/16/2020 0:00,6:19:00 AM,5,4
1061,43,3/16/2020 0:00,8:21:00 AM,5,5
1062,11,3/16/2020 0:00,10:29:00 AM,5,5
1063,40,3/16/2020 0:00,11:47:00 AM,5,5
1064,2,3/16/2020 0:00,11:59:00 AM,3,5
1065,8,3/16/2020 0:00,12:16:00 PM,5,5
1066,32,3/16/2020 0:00,3:49:00 PM,4,4
1067,35,3/16/2020 0:00,8:17:00 PM,5,5
1068,26,3/15/2020 0:00,8:26:00 AM,5,5
1069,40,3/15/2020 0:00,8:26:00 AM,5,5
1070,25,3/15/2020 0:00,8:37:00 AM,4,4
1071,32,3/15/2020 0:00,8:18:00 AM,5,5
1072,9,3/15/2020 0:00,9:55:00 AM,4,4
1073,13,3/15/2020 0:00,10:40:00 AM,5,5
1074,40,3/15/2020 0:00,3:32:00 PM,5,5
1075,40,3/15/2020 0:00,4:37:00 PM,5,4
1076,30,3/15/2020 0:00,7:56:00 PM,5,5
1077,31,3/15/2020 0:00,10:46:00 PM,5,5
1078,19,3/15/2020 0:00,5:53:00 AM,5,5
1079,25,3/15/2020 0:00,6:24:00 AM,5,5
1080,11,3/15/2020 0:00,6:37:00 AM,4,4
1081,40,3/14/2020 0:00,2:02:00 PM,4,5
1082,17,3/14/2020 0:00,4:24:00 PM,5,5
1083,32,3/14/2020 0:00,1:14:00 PM,5,5
1084,8,3/14/2020 0:00,8:35:00 AM,4,4
1085,9,3/14/2020 0:00,8:43:00 AM,4,3
1086,6,3/14/2020 0:00,9:01:00 AM,5,5
1087,31,3/14/2020 0:00,9:24:00 AM,5,5
1088,9,3/13/2020 0:00,5:53:00 AM,4,4
1089,23,3/13/2020 0:00,7:04:00 AM,3,4
1090,32,3/13/2020 0:00,10:35:00 AM,4,4
1091,31,3/13/2020 0:00,12:22:00 PM,4,4
1092,42,3/13/2020 0:00,1:52:00 PM,5,4
1093,9,3/13/2020 0:00,6:35:00 PM,5,5
1094,9,3/13/2020 0:00,8:11:00 PM,3,3
1095,8,3/12/2020 0:00,6:15:00 AM,4,4
1096,9,3/12/2020 0:00,7:47:00 AM,4,4
1097,33,3/12/2020 0:00,8:37:00 AM,5,4
1098,2,3/12/2020 0:00,8:40:00 AM,4,4
1099,40,3/12/2020 0:00,10:19:00 AM,3,5
1100,6,3/12/2020 0:00,2:10:00 PM,5,5
1101,31,3/12/2020 0:00,4:59:00 PM,5,5
1102,32,3/11/2020 0:00,6:18:00 AM,3,4
1103,40,3/11/2020 0:00,9:56:00 AM,2,3
1104,23,3/11/2020 0:00,11:20:00 AM,5,4
1105,9,3/11/2020 0:00,3:14:00 PM,4,5
1106,26,3/11/2020 0:00,3:22:00 PM,4,4
1107,19,3/10/2020 0:00,1:56:00 AM,5,5
1108,14,3/10/2020 0:00,5:29:00 AM,4,4
1109,23,3/10/2020 0:00,7:11:00 AM,5,5
1110,9,3/10/2020 0:00,9:34:00 AM,5,5
1111,42,3/10/2020 0:00,2:06:00 PM,5,4
1112,40,3/10/2020 0:00,2:48:00 PM,5,5
1113,9,3/10/2020 0:00,3:50:00 PM,5,5
1114,9,3/10/2020 0:00,7:01:00 PM,5,5
1115,42,3/10/2020 0:00,7:06:00 PM,5,4
1116,31,3/9/2020 0:00,8:53:00 PM,5,4
1117,31,3/9/2020 0:00,6:05:00 PM,5,5
1118,22,3/9/2020 0:00,7:27:00 PM,5,5
1119,42,3/9/2020 0:00,5:26:00 AM,1,1
1120,17,3/9/2020 0:00,1:29:00 PM,4,4
1121,40,3/8/2020 0:00,3:57:00 PM,3,3
1122,25,3/8/2020 0:00,6:32:00 PM,4,3
1123,21,3/8/2020 0:00,7:03:00 PM,5,5
1124,20,3/8/2020 0:00,10:12:00 PM,3,3
1125,1,3/8/2020 0:00,11:16:00 PM,5,5
1126,2,3/8/2020 0:00,11:47:00 PM,5,4
1127,9,3/7/2020 0:00,3:27:00 PM,5,5
1128,42,3/7/2020 0:00,5:05:00 PM,4,4
1129,23,3/7/2020 0:00,5:50:00 PM,5,5
1130,40,3/7/2020 0:00,11:06:00 PM,3,5
1131,40,3/7/2020 0:00,5:31:00 AM,5,5
1132,13,3/7/2020 0:00,9:00:00 AM,5,4
1133,23,3/7/2020 0:00,9:23:00 AM,3,4
1134,40,3/7/2020 0:00,11:24:00 AM,1,1
1135,22,3/7/2020 0:00,11:31:00 AM,4,4
1136,32,3/7/2020 0:00,11:57:00 AM,5,5
1137,24,3/7/2020 0:00,12:41:00 PM,5,5
1138,13,3/6/2020 0:00,5:29:00 AM,3,4
1139,31,3/6/2020 0:00,6:27:00 AM,4,4
1140,32,3/6/2020 0:00,7:20:00 AM,5,5
1141,10,3/6/2020 0:00,11:13:00 AM,5,5
1142,40,3/5/2020 0:00,10:10:00 AM,5,5
1143,42,3/5/2020 0:00,11:13:00 AM,5,4
1144,9,3/5/2020 0:00,1:50:00 PM,5,5
1145,17,3/5/2020 0:00,3:46:00 PM,5,4
1146,42,3/5/2020 0:00,6:12:00 PM,5,5
1147,1,3/5/2020 0:00,9:29:00 PM,4,4
1148,32,3/5/2020 0:00,10:18:00 PM,5,5
1149,32,3/5/2020 0:00,11:32:00 PM,5,5
1150,9,3/4/2020 0:00,1:35:00 AM,4,4
1151,26,3/4/2020 0:00,4:10:00 PM,5,4
1152,32,3/4/2020 0:00,6:47:00 PM,5,5
1153,13,3/4/2020 0:00,7:23:00 PM,4,4
1154,28,3/3/2020 0:00,4:47:00 AM,5,5
1155,30,3/3/2020 0:00,5:16:00 AM,4,4
1156,27,3/3/2020 0:00,6:45:00 AM,5,5
1157,23,3/3/2020 0:00,7:06:00 AM,4,5
1158,40,3/3/2020 0:00,7:00:00 AM,5,5
1159,32,3/3/2020 0:00,7:36:00 AM,3,3
1160,22,3/3/2020 0:00,1:01:00 PM,4,5
1161,25,3/2/2020 0:00,9:09:00 AM,5,5
1162,23,3/2/2020 0:00,11:19:00 AM,5,5
1163,42,3/1/2020 0:00,2:23:00 PM,5,5
1164,25,3/1/2020 0:00,6:23:00 PM,5,5
1165,31,3/1/2020 0:00,4:48:00 AM,4,4
1166,24,3/1/2020 0:00,11:29:00 AM,5,4
1167,22,3/1/2020 0:00,12:26:00 PM,5,5
1168,18,2/29/2020 0:00,10:34:00 AM,5,5
1169,32,2/29/2020 0:00,10:34:00 AM,5,5
1170,25,2/29/2020 0:00,10:52:00 AM,4,4
1171,13,2/29/2020 0:00,11:10:00 AM,5,5
1172,32,2/29/2020 0:00,5:14:00 PM,4,4
1173,37,2/29/2020 0:00,8:11:00 AM,5,5
1174,42,2/29/2020 0:00,8:59:00 AM,4,4
1175,30,2/29/2020 0:00,10:05:00 AM,5,5
1176,35,2/29/2020 0:00,10:07:00 AM,3,3
1177,42,2/29/2020 0:00,10:09:00 AM,4,4
1178,32,2/29/2020 0:00,8:07:00 AM,3,4
1179,34,2/29/2020 0:00,4:56:00 AM,1,2
1180,31,2/29/2020 0:00,5:27:00 AM,5,5
1181,42,2/29/2020 0:00,5:36:00 AM,4,4
1182,9,2/29/2020 0:00,6:38:00 AM,3,4
1183,14,2/28/2020 0:00,4:55:00 AM,5,5
1184,32,2/28/2020 0:00,5:58:00 AM,5,5
1185,32,2/28/2020 0:00,6:19:00 AM,5,5
1186,43,2/28/2020 0:00,5:49:00 AM,5,5
1187,9,2/28/2020 0:00,6:27:00 AM,5,4
1188,30,2/28/2020 0:00,7:00:00 AM,4,4
1189,25,2/28/2020 0:00,8:29:00 AM,4,4
1190,23,2/28/2020 0:00,11:31:00 AM,4,4
1191,22,2/28/2020 0:00,1:36:00 PM,3,4
1192,20,2/28/2020 0:00,4:44:00 PM,4,4
1193,40,2/27/2020 0:00,8:55:00 PM,5,5
1194,32,2/27/2020 0:00,9:47:00 PM,4,4
1195,9,2/27/2020 0:00,12:07:00 AM,5,5
1196,23,2/27/2020 0:00,5:07:00 AM,5,5
1197,13,2/27/2020 0:00,6:05:00 AM,5,4
1198,19,2/27/2020 0:00,7:46:00 AM,5,5
1199,31,2/27/2020 0:00,9:09:00 AM,4,4
1200,23,2/27/2020 0:00,9:11:00 AM,1,1
1201,15,2/27/2020 0:00,8:51:00 AM,1,3
1202,10,2/27/2020 0:00,9:58:00 AM,5,4
1203,19,2/27/2020 0:00,12:38:00 PM,5,5
1204,25,2/27/2020 0:00,7:31:00 PM,5,5
1205,23,2/26/2020 0:00,6:58:00 AM,5,5
1206,42,2/26/2020 0:00,8:48:00 AM,4,5
1207,40,2/26/2020 0:00,9:15:00 AM,5,4
1208,9,2/26/2020 0:00,9:38:00 AM,5,5
1209,27,2/26/2020 0:00,9:38:00 AM,5,5
1210,15,2/26/2020 0:00,10:17:00 AM,5,4
1211,22,2/26/2020 0:00,10:34:00 AM,5,5
1212,23,2/26/2020 0:00,1:09:00 PM,4,4
1213,34,2/26/2020 0:00,2:05:00 PM,5,5
1214,9,2/26/2020 0:00,3:33:00 PM,4,4
1215,23,2/26/2020 0:00,6:09:00 PM,5,5
1216,10,2/26/2020 0:00,8:55:00 PM,4,4
1217,40,2/25/2020 0:00,4:17:00 AM,4,5
1218,28,2/25/2020 0:00,4:57:00 AM,3,4
1219,35,2/25/2020 0:00,6:34:00 AM,5,5
1220,20,2/25/2020 0:00,6:51:00 AM,5,5
1221,9,2/25/2020 0:00,8:06:00 AM,5,5
1222,40,2/25/2020 0:00,8:36:00 AM,5,5
1223,32,2/25/2020 0:00,8:53:00 AM,5,5
1224,23,2/25/2020 0:00,9:33:00 AM,5,5
1225,9,2/25/2020 0:00,9:56:00 AM,3,4
1226,12,2/25/2020 0:00,10:53:00 AM,5,5
1227,23,2/25/2020 0:00,11:34:00 AM,5,5
1228,9,2/25/2020 0:00,2:11:00 PM,3,3
1229,27,2/25/2020 0:00,10:18:00 PM,2,3
1230,19,2/24/2020 0:00,5:33:00 AM,5,5
1231,42,2/24/2020 0:00,8:13:00 AM,5,5
1232,31,2/24/2020 0:00,8:30:00 AM,4,4
1233,15,2/23/2020 0:00,5:49:00 AM,3,4
1234,23,2/23/2020 0:00,6:53:00 AM,5,4
1235,27,2/23/2020 0:00,7:17:00 AM,5,5
1236,28,2/23/2020 0:00,8:06:00 AM,5,5
1237,27,2/23/2020 0:00,10:49:00 AM,3,2
1238,2,2/23/2020 0:00,5:39:00 PM,5,5
1239,2,2/22/2020 0:00,12:10:00 AM,5,5
1240,32,2/22/2020 0:00,8:08:00 AM,4,4
1241,9,2/22/2020 0:00,3:56:00 PM,5,5
1242,16,2/21/2020 0:00,6:40:00 AM,5,5
1243,22,2/21/2020 0:00,7:09:00 AM,5,5
1244,30,2/21/2020 0:00,7:41:00 AM,4,4
1245,18,2/21/2020 0:00,12:22:00 PM,5,4
1246,1,2/21/2020 0:00,2:49:00 PM,4,4
1247,40,2/20/2020 0:00,5:18:00 PM,5,5
1248,31,2/20/2020 0:00,4:11:00 AM,4,5
1249,13,2/20/2020 0:00,5:03:00 AM,5,5
1250,22,2/20/2020 0:00,8:48:00 AM,3,3
1251,23,2/20/2020 0:00,8:41:00 AM,5,4
1252,15,2/20/2020 0:00,12:49:00 PM,4,4
1253,2,2/20/2020 0:00,1:07:00 PM,4,4
1254,23,2/19/2020 0:00,4:42:00 AM,5,5
1255,43,2/19/2020 0:00,6:53:00 AM,5,5
1256,27,2/19/2020 0:00,6:54:00 AM,4,4
1257,40,2/19/2020 0:00,7:31:00 AM,5,5
1258,13,2/19/2020 0:00,9:34:00 AM,1,2
1259,17,2/19/2020 0:00,10:15:00 AM,4,4
1260,5,2/19/2020 0:00,3:10:00 PM,5,5
1261,40,2/19/2020 0:00,3:15:00 PM,5,5
